Country,Year_Life_expectancy,Life expectancy,Year_Life_Ladder,Life Ladder,Crime Rate,Year_Unemployment_Rate,Unemployment_Rate,Water_Quality,gdpPerCapita,Cost of Living Index,continent
Türkiye,,,2023.0,5.462700366973877,,,,,,,
Uganda,2015.0,62.3,2023.0,4.466518878936768,55.9,2023.0,2.83,24.6,1125.8599902829346,29.1,Africa
Ukraine,2015.0,71.3,2023.0,4.672444820404053,46.8,2021.0,9.83,78.5,4990.544159830112,25.9,Europe
United Arab Emirates,2015.0,77.1,2023.0,6.728384017944336,14.6,2023.0,2.71,66.1,47863.536197186935,55.8,Asia
United Kingdom,,,2023.0,6.658042907714844,46.9,2023.0,4.06,97.0,50554.68612142058,62.0,Europe
United Kingdom of Great Britain and Northern Ireland,2015.0,81.2,,,,,,,,,
United Republic of Tanzania,2015.0,61.8,,,,,,,,,
United States,,,2023.0,6.520872116088867,49.2,2023.0,3.63,100.0,83320.35422824504,70.4,North America
United States Virgin Islands,,,,,61.2,,,,,,
United States of America,2015.0,79.3,,,,,,,,,
Uruguay,2015.0,77.0,2023.0,6.661721706390381,51.9,2023.0,8.35,70.4,24391.792333881574,54.1,South America
Uzbekistan,2015.0,69.4,2023.0,6.3853607177734375,31.3,2023.0,4.53,75.5,2693.918634614803,26.4,Asia
Vanuatu,2015.0,72.0,,,,2023.0,5.1,33.2,3932.5517043599766,,Oceania
Venezuela,,,2023.0,5.7653632164001465,82.1,2023.0,5.53,47.9,3602.4009434792556,38.3,South America
Venezuela (Bolivarian Republic of),2015.0,74.1,,,,,,,,,
Viet Nam,2015.0,76.0,,,,,,,,,
Vietnam,,,2023.0,6.325115203857422,44.1,2023.0,1.6,54.7,4612.567829841169,28.7,Asia
Virgin Islands,,,,,,2023.0,12.09,,,,
West Bank,,,,,,2022.0,24.42,,,,
Yemen,2015.0,65.7,2023.0,3.531573534011841,,2023.0,17.22,,417.4141023871947,,Asia
Zambia,2015.0,61.8,2023.0,3.68556809425354,47.9,2023.0,5.91,22.3,1401.4543748533897,,Africa
Zimbabwe,2015.0,67.0,2023.0,3.5723862648010254,60.6,2023.0,8.76,19.7,2068.3042370028375,37.2,Africa
